conference,paper_id,doi,first_page,track,papers_with_this_track,note
22,1084,,1331,Industry Papers,20,
22,1054,,1343,Industry Papers,20,
22,980,,1357,Industry Papers,20,
22,1075,,1369,Industry Papers,20,
22,1024,,1379,Industry Papers,20,
22,1033,,1391,Industry Papers,20,
22,1027,,1401,Industry Papers,20,
22,1012,,1413,Industry Papers,20,
22,1043,,1425,Industry Papers,20,
22,1026,,1435,Industry Papers,20,
22,1035,,1447,Industry Papers,20,
22,1058,,1461,Industry Papers,20,
22,985,,1473,Industry Papers,20,
22,977,,1483,Industry Papers,20,
22,1050,,1495,Industry Papers,20,
22,994,,1507,Industry Papers,20,
27,1626,10.24928/2019/0164,1,Plenary Papers,15,
27,1637,10.24928/2019/0216.,13,Plenary Papers,15,
27,1648,10.24928/2019/0143,25,Plenary Papers,15,
27,1659,10.24928/2019/0251,37,Value in Design,5,
27,1670,10.24928/2019/0196.,49,Value in Design,5,
27,1681,10.24928/2019/0199,63,Value in Design,5,
27,1687,10.24928/2019/0238,73,Value in Design,5,
27,1688,10.24928/2019/0173,83,Value in Design,5,
27,1689,10.24928/2019/0263,97,Value in Procurement,5,
27,1627,10.24928/2019/0170,109,Value in Procurement,5,
27,1628,10.24928/2019/0190,121,Value in Procurement,5,
27,1629,10.24928/2019/0270,133,Value in Procurement,5,
27,1630,10.24928/2019/0147,145,Value in Procurement,5,
27,1631,10.24928/2019/0151,157,"People, Culture and Change",5,
27,1632,10.24928/2019/0169,169,"People, Culture and Change",5,
27,1633,10.24928/2019/0241,179,"People, Culture and Change",5,
27,1634,10.24928/2019/0245,191,"People, Culture and Change",5,
27,1635,10.24928/2019/0174.,203,"People, Culture and Change",5,
27,1636,10.24928/2019/0223,215,Lean Construction Case Studies,5,
27,1638,10.24928/2019/0252,228,Lean Construction Case Studies,5,
27,1639,10.24928/2019/0217,239,Lean Construction Case Studies,5,
27,1647,10.24928/2019/0200,246,Planning and workflow,8,
27,1640,10.24928/2019/0157,251,Lean Construction Case Studies,5,
27,1641,10.24928/2019/0219,265,Lean Construction Case Studies,5,
27,1642,10.24928/2019/0146,275,Plenary Papers,15,
27,1643,10.24928/2019/0134,287,Plenary Papers,15,
27,1644,10.24928/2019/0156,299,Plenary Papers,15,
27,1645,10.24928/2019/0140,311,Planning and workflow,8,
27,1646,10.24928/2019/0189,323,Planning and workflow,8,
27,1649,10.24928/2019/0155,347,Planning and workflow,8,
27,1650,10.24928/2019/0160,359,Motivation and Learning,5,
27,1651,10.24928/2019/0172,369,Motivation and Learning,5,between two papers of this track
27,1652,10.24928/2019/0257,383,Motivation and Learning,5,
27,1653,10.24928/2019/0201,393,Motivation and Learning,5,
27,1654,10.24928/2019/0249,405,Motivation and Learning,5,
27,1655,10.24928/2019/0118,417,About Takt Time Planning,5,
27,1656,10.24928/2019/0226,429,About Takt Time Planning,5,
27,1657,10.24928/2019/0247,441,About Takt Time Planning,5,between two papers of this track
27,1658,10.24928/2019/0261,453,About Takt Time Planning,5,
27,1660,10.24928/2019/0271,467,About Takt Time Planning,5,
27,1661,10.24928/2019/0244,479,About Target Value Delivery,4,
27,1662,10.24928/2019/0230,491,About Target Value Delivery,4,
27,1663,10.24928/2019/0268,503,About Target Value Delivery,4,
27,1664,10.24928/2019/0221,515,About Target Value Delivery,4,
27,1665,10.24928/2019/0208,527,Planning and workflow,8,
27,1666,10.24928/2019/0227,539,Planning and workflow,8,
27,1667,10.24928/2019/0232,551,Planning and workflow,8,
27,1668,10.24928/2019/0197,563,Planning and workflow,8,
27,1669,10.24928/2019/0229,573,Novel Design Considerations,4,
27,1671,10.24928/2019/0211,583,Novel Design Considerations,4,
27,1672,10.24928/2019/0239,595,Novel Design Considerations,4,
27,1673,10.24928/2019/0138,607,Novel Design Considerations,4,
27,1674,10.24928/2019/0254,617,Plenary Papers,15,
27,1675,10.24928/2019/0266,629,Plenary Papers,15,
27,1676,10.24928/2019/0212,641,Plenary Papers,15,
27,1677,10.24928/2019/0101,651,Project Performance,4,
27,1678,10.24928/2019/0183,663,Project Performance,4,
27,1679,10.24928/2019/0184,675,Project Performance,4,
27,1680,10.24928/2019/0243,687,Project Performance,4,
27,1682,10.24928/2019/0135,699,Lean Supply Chains and Modular Construction,5,
27,1683,10.24928/2019/0177,711,Lean Supply Chains and Modular Construction,5,
27,1684,10.24928/2019/0204,725,Lean Supply Chains and Modular Construction,5,
27,1685,10.24928/2019/0178,737,Lean Supply Chains and Modular Construction,5,
27,1686,10.24928/2019/0158,749,Lean Supply Chains and Modular Construction,5,
27,1718,10.24928/2019/0149,761,Collaboration and Human Factors,5,
27,1719,10.24928/2019/0192,773,Collaboration and Human Factors,5,
27,1720,10.24928/2019/0159,785,Collaboration and Human Factors,5,
27,1721,10.24928/2019/0209,797,Collaboration and Human Factors,5,
