url,status,location,content_type,title,found_on,note
https://www.iglc.net/Papers/Details/2491,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2491/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-de71fde8-d402-440f-957e-c79d2d09b3a2.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2468,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2468/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-804a1917-c646-4939-a099-d127963df8c1.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2475,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2475/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-1f6e3cd8-2326-447f-bc07-f5204e047deb.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2480,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2480/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-a19f4743-63a8-4425-8cb2-89d0297dc089.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2483,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2483/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-ff11117c-a200-4588-883c-89015e93acc5.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2487,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2487/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-dfd32e9a-b77d-45cb-bb49-6cc1e75ddf4d.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2489,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2489/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-7ed033ec-d287-433b-b608-abe6ea5c1bdb.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2493,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2493/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-ce1e1dd4-6f3a-4730-9b0f-9283a45562a5.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2499,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2499/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-840af415-f598-410b-8a92-f29a9a17f0b9.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2506,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2506/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-71f98ff2-1fbf-4f31-a742-3f68587f3854.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2507,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
https://www.iglc.net/Papers/Details/2507/pdf,302,https://iglcstorage.blob.core.windows.net/papers/attachment-0da57b64-f874-41e8-9fc7-032cdfc60955.pdf,text/html; charset=utf-8,,https://www.iglc.net/Papers/Conference/36,redirects off site
https://www.iglc.net/Papers/Details/2509,200,,text/html; charset=utf-8,IGLC.net - Details,https://www.iglc.net/Papers/Conference/36,
